/afs/250010026/nlp/model/train_transformer_nmt.py:629: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=bool(args.fp16 and device.type == "cuda"))
/afs/250010026/nlp/model/train_transformer_nmt.py:650: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.cuda.amp.autocast(enabled=bool(args.fp16 and device.type == "cuda")):
[schedule] steps_per_epoch=391 total_steps=196000 warmup_steps=6000
[epoch 192] train_loss=2.5705 step=75072 lr=0.000294826
[epoch 192] valid_bleu=9.41 | N/A
[epoch 193] train_loss=2.5692 step=75463 lr=0.000293766
[epoch 193] valid_bleu=8.76 | N/A
[epoch 194] train_loss=2.5663 step=75854 lr=0.000292703
[epoch 194] valid_bleu=9.41 | N/A
[epoch 195] train_loss=2.5641 step=76245 lr=0.000291637
[epoch 195] valid_bleu=8.73 | N/A
[epoch 196] train_loss=2.5616 step=76636 lr=0.000290568
[epoch 196] valid_bleu=9.31 | N/A
[epoch 197] train_loss=2.5593 step=77027 lr=0.000289496
[epoch 197] valid_bleu=8.79 | N/A
[epoch 198] train_loss=2.5570 step=77418 lr=0.000288421
[epoch 198] valid_bleu=9.59 | N/A
[epoch 199] train_loss=2.5556 step=77809 lr=0.000287343
[epoch 199] valid_bleu=9.44 | N/A
[epoch 200] train_loss=2.5526 step=78200 lr=0.000286262
[epoch 200] valid_bleu=9.16 | N/A
[epoch 201] train_loss=2.5513 step=78591 lr=0.000285179
[epoch 201] valid_bleu=9.30 | N/A
[epoch 202] train_loss=2.5482 step=78982 lr=0.000284093
[epoch 202] valid_bleu=8.81 | N/A
[epoch 203] train_loss=2.5464 step=79373 lr=0.000283004
[epoch 203] valid_bleu=8.93 | N/A
[epoch 204] train_loss=2.5441 step=79764 lr=0.000281913
[epoch 204] valid_bleu=8.91 | N/A
[epoch 205] train_loss=2.5430 step=80155 lr=0.000280819
[epoch 205] valid_bleu=9.19 | N/A
[epoch 206] train_loss=2.5408 step=80546 lr=0.000279722
[epoch 206] valid_bleu=8.75 | N/A
[epoch 207] train_loss=2.5380 step=80937 lr=0.000278623
[epoch 207] valid_bleu=8.89 | N/A
[epoch 208] train_loss=2.5371 step=81328 lr=0.000277522
[epoch 208] valid_bleu=8.75 | N/A
[epoch 209] train_loss=2.5339 step=81719 lr=0.000276418
[epoch 209] valid_bleu=9.32 | N/A
[epoch 210] train_loss=2.5328 step=82110 lr=0.000275312
[epoch 210] valid_bleu=9.14 | N/A
[epoch 211] train_loss=2.5302 step=82501 lr=0.000274203
[epoch 211] valid_bleu=9.06 | N/A
[epoch 212] train_loss=2.5289 step=82892 lr=0.000273092
[epoch 212] valid_bleu=9.44 | N/A
[epoch 213] train_loss=2.5273 step=83283 lr=0.000271979
[epoch 213] valid_bleu=9.60 | N/A
[epoch 214] train_loss=2.5255 step=83674 lr=0.000270864
[epoch 214] valid_bleu=9.12 | N/A
[epoch 215] train_loss=2.5228 step=84065 lr=0.000269747
[epoch 215] valid_bleu=8.77 | N/A
[epoch 216] train_loss=2.5213 step=84456 lr=0.000268627
[epoch 216] valid_bleu=9.03 | N/A
[epoch 217] train_loss=2.5182 step=84847 lr=0.000267506
[epoch 217] valid_bleu=9.09 | N/A
[epoch 218] train_loss=2.5173 step=85238 lr=0.000266382
[epoch 218] valid_bleu=8.60 | N/A
[epoch 219] train_loss=2.5149 step=85629 lr=0.000265257
[epoch 219] valid_bleu=8.72 | N/A
[epoch 220] train_loss=2.5140 step=86020 lr=0.00026413
[epoch 220] valid_bleu=9.46 | N/A
[epoch 221] train_loss=2.5111 step=86411 lr=0.000263001
[epoch 221] valid_bleu=8.60 | N/A
[epoch 222] train_loss=2.5093 step=86802 lr=0.00026187
[epoch 222] valid_bleu=9.24 | N/A
[epoch 223] train_loss=2.5079 step=87193 lr=0.000260737
[epoch 223] valid_bleu=9.16 | N/A
[epoch 224] train_loss=2.5056 step=87584 lr=0.000259603
[epoch 224] valid_bleu=9.06 | N/A
[epoch 225] train_loss=2.5033 step=87975 lr=0.000258467
[epoch 225] valid_bleu=9.22 | N/A
[epoch 226] train_loss=2.5017 step=88366 lr=0.000257329
[epoch 226] valid_bleu=8.94 | N/A
[epoch 227] train_loss=2.4997 step=88757 lr=0.00025619
