/afs/250010026/nlp/model/train_transformer_nmt.py:629: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=bool(args.fp16 and device.type == "cuda"))
/afs/250010026/nlp/model/train_transformer_nmt.py:650: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.cuda.amp.autocast(enabled=bool(args.fp16 and device.type == "cuda")):
[schedule] steps_per_epoch=391 total_steps=196000 warmup_steps=6000
[epoch 200] valid_bleu=7.65 | N/A
[epoch 201] train_loss=1.7951 step=78591 lr=0.000285179
[epoch 201] valid_bleu=7.62 | N/A
[epoch 202] train_loss=1.7933 step=78982 lr=0.000284093
[epoch 202] valid_bleu=8.28 | N/A
[epoch 203] train_loss=1.7920 step=79373 lr=0.000283004
[epoch 203] valid_bleu=8.18 | N/A
[epoch 204] train_loss=1.7895 step=79764 lr=0.000281913
[epoch 204] valid_bleu=7.87 | N/A
[epoch 205] train_loss=1.7893 step=80155 lr=0.000280819
[epoch 205] valid_bleu=8.18 | N/A
[epoch 206] train_loss=1.7874 step=80546 lr=0.000279722
[epoch 206] valid_bleu=8.45 | N/A
[epoch 207] train_loss=1.7860 step=80937 lr=0.000278623
[epoch 207] valid_bleu=8.10 | N/A
[epoch 208] train_loss=1.7846 step=81328 lr=0.000277522
[epoch 208] valid_bleu=7.85 | N/A
[epoch 209] train_loss=1.7829 step=81719 lr=0.000276418
[epoch 209] valid_bleu=7.69 | N/A
[epoch 210] train_loss=1.7811 step=82110 lr=0.000275312
[epoch 210] valid_bleu=7.55 | N/A
[epoch 211] train_loss=1.7795 step=82501 lr=0.000274203
[epoch 211] valid_bleu=7.60 | N/A
[epoch 212] train_loss=1.7782 step=82892 lr=0.000273092
[epoch 212] valid_bleu=7.80 | N/A
[epoch 213] train_loss=1.7772 step=83283 lr=0.000271979
[epoch 213] valid_bleu=7.64 | N/A
[epoch 214] train_loss=1.7759 step=83674 lr=0.000270864
[epoch 214] valid_bleu=8.09 | N/A
[epoch 215] train_loss=1.7738 step=84065 lr=0.000269747
[epoch 215] valid_bleu=7.74 | N/A
[epoch 216] train_loss=1.7735 step=84456 lr=0.000268627
[epoch 216] valid_bleu=7.97 | N/A
[epoch 217] train_loss=1.7713 step=84847 lr=0.000267506
[epoch 217] valid_bleu=7.39 | N/A
[epoch 218] train_loss=1.7688 step=85238 lr=0.000266382
[epoch 218] valid_bleu=7.63 | N/A
[epoch 219] train_loss=1.7682 step=85629 lr=0.000265257
[epoch 219] valid_bleu=7.79 | N/A
[epoch 220] train_loss=1.7673 step=86020 lr=0.00026413
[epoch 220] valid_bleu=7.71 | N/A
[epoch 221] train_loss=1.7653 step=86411 lr=0.000263001
[epoch 221] valid_bleu=7.78 | N/A
[epoch 222] train_loss=1.7646 step=86802 lr=0.00026187
[epoch 222] valid_bleu=8.29 | N/A
[epoch 223] train_loss=1.7628 step=87193 lr=0.000260737
[epoch 223] valid_bleu=8.00 | N/A
[epoch 224] train_loss=1.7611 step=87584 lr=0.000259603
[epoch 224] valid_bleu=7.28 | N/A
[epoch 225] train_loss=1.7603 step=87975 lr=0.000258467
[epoch 225] valid_bleu=7.79 | N/A
[epoch 226] train_loss=1.7595 step=88366 lr=0.000257329
[epoch 226] valid_bleu=7.56 | N/A
[epoch 227] train_loss=1.7579 step=88757 lr=0.00025619
[epoch 227] valid_bleu=7.94 | N/A
[epoch 228] train_loss=1.7563 step=89148 lr=0.000255049
[epoch 228] valid_bleu=8.10 | N/A
[epoch 229] train_loss=1.7550 step=89539 lr=0.000253907
[epoch 229] valid_bleu=7.40 | N/A
[epoch 230] train_loss=1.7533 step=89930 lr=0.000252763
[epoch 230] valid_bleu=8.12 | N/A
[epoch 231] train_loss=1.7520 step=90321 lr=0.000251618
[epoch 231] valid_bleu=7.84 | N/A
[epoch 232] train_loss=1.7520 step=90712 lr=0.000250472
[epoch 232] valid_bleu=8.14 | N/A
[epoch 233] train_loss=1.7497 step=91103 lr=0.000249325
[epoch 233] valid_bleu=7.72 | N/A
[epoch 234] train_loss=1.7484 step=91494 lr=0.000248176
[epoch 234] valid_bleu=8.49 | N/A
